Site_id	Ip_counts	Input_counts	m6a_ratio	Sample_group_id	Beta_level
ENSG00000003249_exon_1_1326_chr16_-_90072597_90072748	723;481;538;527;430;428	80;128;116;36;118;166	5.012;3.002;3.664;9.472;2.613;2.195	1;1;1;2;2;2	0.033;0.967
ENSG00000003249_exon_1_1353_chr16_-_90072624_90072775	716;508;566;533;439;439	77;123;120;36;132;166	5.148;3.302;3.748;9.584;2.374;2.248	1;1;1;2;2;2	0.646;0.354
ENSG00000003249_exon_1_1395_chr16_-_90072666_90072817	640;462;517;457;362;399	77;105;84;33;120;176	4.601;3.497;4.854;8.945;2.163;1.922	1;1;1;2;2;2	0.295;0.705
ENSG00000003249_exon_1_1400_chr16_-_90072671_90072822	610;451;505;449;358;390	81;105;84;33;113;176	4.183;3.417;4.739;8.783;2.271;1.881	1;1;1;2;2;2	0.069;0.931
ENSG00000003249_exon_1_1433_chr16_-_90072704_90072855	574;416;467;400;326;358	79;120;96;32;123;174	4.027;2.777;3.849;8.064;1.902;1.748	1;1;1;2;2;2	0.918;0.082
ENSG00000003249_exon_1_663_chr16_-_90071934_90072085	434;290;339;270;219;237	87;57;103;68;128;23	2.749;4.047;2.597;2.605;1.23;8.64	1;1;1;2;2;2	0.837;0.163
ENSG00000003249_exon_1_671_chr16_-_90071942_90072093	430;287;333;267;220;237	90;46;103;68;128;23	2.642;4.986;2.55;2.575;1.235;8.606	1;1;1;2;2;2	0.58;0.42
ENSG00000003249_exon_1_683_chr16_-_90071954_90072105	456;310;352;280;233;243	90;46;135;68;128;30	2.798;5.386;2.071;2.705;1.309;6.71	1;1;1;2;2;2	0.07;0.93
ENSG00000003249_exon_1_700_chr16_-_90071971_90072122	439;298;359;262;235;230	85;26;113;71;113;30	2.845;8.947;2.512;2.429;1.492;6.346	1;1;1;2;2;2	0.885;0.115
ENSG00000003249_exon_1_727_chr16_-_90071998_90072149	423;293;345;251;222;222	68;27;113;68;96;29	3.413;8.477;2.419;2.424;1.652;6.357	1;1;1;2;2;2	0.055;0.945
ENSG00000003249_exon_1_731_chr16_-_90072002_90072153	423;301;358;252;226;220	68;27;113;68;96;29	3.413;8.699;2.505;2.434;1.688;6.304	1;1;1;2;2;2	0.017;0.983
ENSG00000003249_exon_1_762_chr16_-_90072033_90072184	412;315;369;265;244;230	80;40;126;67;88;45	2.854;6.311;2.32;2.592;1.983;4.28	1;1;1;2;2;2	0.707;0.293
ENSG00000003249_exon_1_896_chr16_-_90072167_90072318	706;494;659;559;536;419	77;91;108;34;118;70	5.077;4.334;4.838;10.625;3.256;5.074	1;1;1;2;2;2	0.049;0.951
ENSG00000003249_exon_1_979_chr16_-_90072250_90072401	613;379;536;461;422;325	71;79;91;46;117;42	4.75;3.84;4.681;6.53;2.589;6.506	1;1;1;2;2;2	0.629;0.371
ENSG00000003249_exon_1_994_chr16_-_90072265_90072416	331;220;308;298;242;200	45;31;45;52;64;32	4.065;5.544;5.439;3.743;2.714;5.158	1;1;1;2;2;2	0.994;0.006
ENSG00000003393_exon_32_103_chr2_-_202622226_202622377	87;98;76;79;64;89	32;69;23;51;26;76	1.511;1.126;2.579;1.01;1.736;0.995	1;1;1;2;2;2	0.462;0.538
ENSG00000003393_exon_32_32_chr2_-_202622155_202622306	120;93;87;94;77;97	32;65;37;54;29;83	2.085;1.137;1.859;1.144;1.884;0.996	1;1;1;2;2;2	0.41;0.59
ENSG00000003393_exon_32_41_chr2_-_202622164_202622315	129;100;91;98;86;105	32;65;37;54;29;86	2.238;1.219;1.945;1.194;2.09;1.043	1;1;1;2;2;2	0.819;0.181
ENSG00000003402_exon_1_170_chr2_+_201980995_201981146	254;156;182;237;165;194	19;55;23;27;50;62	7.124;2.265;6.154;5.629;2.365;2.634	1;1;1;2;2;2	0.851;0.149
ENSG00000003402_exon_7_578_chr2_+_201994628_201994779	97;71;91;54;58;67	39;86;32;35;25;41	1.363;0.661;2.269;0.998;1.643;1.393	1;1;1;2;2;2	0.942;0.058
ENSG00000003989_exon_15_108_chr8_+_17422565_17422716	566;412;374;761;460;621	72;101;97;121;71;180	4.334;3.244;3.05;4.119;4.597;2.919	1;1;1;2;2;2	0.107;0.893
ENSG00000003989_exon_15_122_chr8_+_17422579_17422730	599;445;400;791;485;657	65;97;98;118;79;180	5.119;3.657;3.223;4.384;4.364;3.088	1;1;1;2;2;2	0.93;0.07
ENSG00000003989_exon_15_13_chr8_+_17422470_17422621	356;322;279;556;362;424	82;113;120;171;95;244	2.387;2.285;1.85;2.138;2.721;1.476	1;1;1;2;2;2	0.044;0.956
ENSG00000003989_exon_15_179_chr8_+_17422636_17422787	652;472;433;816;522;682	75;77;45;58;39;98	4.805;4.913;7.654;9.197;9.51;5.864	1;1;1;2;2;2	0.579;0.421
ENSG00000003989_exon_15_61_chr8_+_17422518_17422669	542;407;366;734;453;594	85;124;109;158;101;209	3.51;2.623;2.662;3.054;3.205;2.412	1;1;1;2;2;2	0.532;0.468
ENSG00000004455_exon_9_12_chr1_-_33489731_33489882	164;101;149;110;136;117	82;43;96;122;44;93	1.101;1.876;1.227;0.591;2.205;1.063	1;1;1;2;2;2	0.965;0.035
ENSG00000004455_exon_9_16_chr1_-_33489735_33489886	164;101;149;110;136;117	82;43;97;122;44;93	1.101;1.876;1.214;0.591;2.205;1.063	1;1;1;2;2;2	0.049;0.951
ENSG00000004455_exon_9_42_chr1_-_33489761_33489912	164;101;149;110;136;117	82;43;97;122;44;93	1.101;1.876;1.214;0.591;2.205;1.063	1;1;1;2;2;2	0.002;0.998
ENSG00000004455_exon_9_57_chr1_-_33489776_33489927	164;101;149;110;136;117	82;43;97;122;44;93	1.101;1.876;1.214;0.591;2.205;1.063	1;1;1;2;2;2	0.99;0.01
ENSG00000004455_exon_9_72_chr1_-_33489791_33489942	164;101;149;110;136;117	82;43;97;122;44;93	1.101;1.876;1.214;0.591;2.205;1.063	1;1;1;2;2;2	0.503;0.497
ENSG00000004478_exon_1_116_chr12_+_2904233_2904384	1372;959;1147;1492;1217;1009	313;396;372;359;293;295	2.435;1.943;2.443;2.734;2.976;2.9	1;1;1;2;2;2	0.819;0.181
ENSG00000004478_exon_2_332_chr12_+_2905153_2905304	382;247;290;373;301;278	111;97;80;108;56;35	1.907;2.03;2.874;2.256;3.857;6.743	1;1;1;2;2;2	0.99;0.01
ENSG00000004478_exon_2_344_chr12_+_2905165_2905316	382;247;290;374;301;279	111;97;80;108;56;35	1.907;2.03;2.874;2.262;3.857;6.766	1;1;1;2;2;2	0.939;0.061
ENSG00000004478_exon_2_544_chr12_+_2905365_2905516	392;253;293;378;308;281	100;91;81;100;67;25	2.158;2.218;2.866;2.491;3.256;9.366	1;1;1;2;2;2	0.938;0.062
ENSG00000004478_exon_3_116_chr12_+_2905961_2906112	386;251;293;378;303;287	127;104;101;100;60;45	1.686;1.92;2.293;2.491;3.626;5.333	1;1;1;2;2;2	0.652;0.348
ENSG00000004478_exon_3_134_chr12_+_2905979_2906130	387;251;293;380;301;287	127;104;101;100;60;45	1.691;1.92;2.293;2.505;3.604;5.333	1;1;1;2;2;2	0.937;0.063
ENSG00000004487_exon_20_2557_chr1_+_23409921_23410072	138;100;114;126;79;102	31;38;31;198;132;147	2.464;2.109;2.921;0.422;0.429;0.591	1;1;1;2;2;2	0.107;0.893
ENSG00000004534_exon_4_1065_chr3_+_50005694_50005845	400;374;384;444;329;380	57;77;90;91;58;101	3.871;3.892;3.395;3.216;4.065;3.2	1;1;1;2;2;2	0.322;0.678
ENSG00000004534_exon_4_1085_chr3_+_50005714_50005865	356;321;317;365;274;326	57;77;87;91;51;94	3.444;3.342;2.869;2.645;3.843;2.932	1;1;1;2;2;2	0.095;0.905
ENSG00000004534_exon_4_1109_chr3_+_50005738_50005889	364;320;321;367;276;327	88;77;87;92;59;105	2.283;3.332;2.906;2.631;3.354;2.644	1;1;1;2;2;2	0.791;0.209
ENSG00000004534_exon_4_1168_chr3_+_50005797_50005948	387;330;305;386;302;347	98;91;82;103;54;106	2.195;2.892;2.937;2.472;4.009;2.776	1;1;1;2;2;2	0.971;0.029
ENSG00000004534_exon_4_1183_chr3_+_50005812_50005963	378;320;295;379;295;340	92;91;82;103;54;106	2.277;2.808;2.849;2.426;3.909;2.723	1;1;1;2;2;2	0.999;0.001
ENSG00000004534_exon_4_1203_chr3_+_50005832_50005983	387;321;305;381;301;353	96;93;68;103;71;108	2.238;2.754;3.534;2.439;3.011;2.766	1;1;1;2;2;2	0.822;0.178
ENSG00000004534_exon_4_1220_chr3_+_50005849_50006000	375;322;284;375;303;336	93;87;66;94;59;95	2.234;2.958;3.404;2.627;3.687;2.984	1;1;1;2;2;2	0.233;0.767
ENSG00000004534_exon_4_1229_chr3_+_50005858_50006009	267;232;213;276;212;251	85;55;33;81;43;61	1.73;3.363;5.099;2.242;3.524;3.459	1;1;1;2;2;2	0.366;0.634
ENSG00000004534_exon_4_1250_chr3_+_50005879_50006030	256;189;192;245;205;227	66;49;26;59;33;69	2.125;3.08;5.718;2.719;4.398;2.797	1;1;1;2;2;2	0.346;0.654
ENSG00000004534_exon_4_1328_chr3_+_50005957_50006108	223;173;183;189;160;184	70;69;26;37;23;46	1.752;1.986;5.446;3.311;4.881;3.343	1;1;1;2;2;2	0.276;0.724
ENSG00000004534_exon_4_1346_chr3_+_50005975_50006126	189;144;143;145;132;150	67;54;23;37;22;46	1.554;2.124;4.848;2.547;4.195;2.726	1;1;1;2;2;2	0.937;0.063
ENSG00000004534_exon_4_404_chr3_+_50005033_50005184	349;351;401;461;283;358	18;54;31;62;36;36	10.277;5.168;10.25;4.872;5.587;8.43	1;1;1;2;2;2	0.984;0.016
ENSG00000004534_exon_4_674_chr3_+_50005303_50005454	332;351;352;469;300;320	31;31;41;42;41;89	5.933;8.836;6.691;7.266;5.218;3.044	1;1;1;2;2;2	0.871;0.129
ENSG00000004534_exon_4_780_chr3_+_50005409_50005560	613;514;504;675;429;450	67;77;45;99;83;100	5.014;5.343;8.896;4.493;3.681;3.828	1;1;1;2;2;2	0.237;0.763
ENSG00000004534_exon_4_824_chr3_+_50005453_50005604	548;413;425;547;349;372	56;89;37;87;65;69	5.388;3.7;9.012;4.14;3.863;4.584	1;1;1;2;2;2	0.115;0.885
ENSG00000004534_exon_4_833_chr3_+_50005462_50005613	553;413;431;558;349;372	54;89;37;87;65;69	5.619;3.7;9.141;4.218;3.863;4.584	1;1;1;2;2;2	0.788;0.212
ENSG00000004534_exon_4_844_chr3_+_50005473_50005624	762;528;552;713;477;507	82;90;63;96;74;133	5.1;4.682;6.936;4.889;4.579;3.246	1;1;1;2;2;2	0.813;0.187
ENSG00000004534_exon_4_854_chr3_+_50005483_50005634	844;614;627;812;557;565	80;93;67;98;110;129	5.854;5.261;7.384;5.46;3.63;3.703	1;1;1;2;2;2	0.831;0.169
ENSG00000004534_exon_4_890_chr3_+_50005519_50005670	877;671;698;895;609;609	80;99;81;91;117;131	6.076;5.392;6.807;6.469;3.729;3.93	1;1;1;2;2;2	0.924;0.076
ENSG00000004534_exon_4_899_chr3_+_50005528_50005679	877;671;696;895;609;610	80;99;81;91;117;131	6.076;5.392;6.787;6.469;3.729;3.936	1;1;1;2;2;2	0.471;0.529
ENSG00000004534_exon_4_933_chr3_+_50005562_50005713	542;440;435;559;386;388	43;57;66;36;59;120	6.943;6.124;5.209;10.051;4.697;2.743	1;1;1;2;2;2	0.864;0.136
ENSG00000004534_exon_4_946_chr3_+_50005575_50005726	497;400;409;510;369;355	43;57;55;28;65;121	6.363;5.575;5.833;11.703;4.082;2.488	1;1;1;2;2;2	0.965;0.035
ENSG00000004660_exon_1_1076_chr17_-_3764683_3764834	842;600;644;613;459;420	55;94;51;73;85;50	8.412;5.09;9.943;5.511;3.85;7.142	1;1;1;2;2;2	0.331;0.669
ENSG00000004660_exon_1_1111_chr17_-_3764718_3764869	701;486;528;534;386;316	70;89;61;77;71;51	5.507;4.356;6.874;4.555;3.861;5.264	1;1;1;2;2;2	0.205;0.795
ENSG00000004660_exon_1_1121_chr17_-_3764728_3764879	609;443;483;470;355;289	70;89;61;76;71;51	4.787;3.976;6.29;4.067;3.549;4.824	1;1;1;2;2;2	0.527;0.473
ENSG00000004660_exon_1_1125_chr17_-_3764732_3764883	608;440;471;469;355;287	70;88;61;76;73;51	4.779;3.996;6.131;4.058;3.455;4.793	1;1;1;2;2;2	0.391;0.609
ENSG00000004660_exon_1_1200_chr17_-_3764807_3764958	397;304;313;296;240;165	76;85;76;83;75;62	2.891;2.857;3.27;2.345;2.273;2.237	1;1;1;2;2;2	0.548;0.452
ENSG00000004660_exon_1_1233_chr17_-_3764840_3764991	396;299;311;295;235;160	78;98;78;82;62;61	2.813;2.431;3.16;2.365;2.724;2.211	1;1;1;2;2;2	0.864;0.136
ENSG00000004660_exon_1_1436_chr17_-_3765043_3765194	530;461;585;474;298;323	94;69;52;65;79;79	3.122;5.286;8.86;4.776;2.688;3.45	1;1;1;2;2;2	0.743;0.257
ENSG00000004660_exon_1_1479_chr17_-_3765086_3765237	523;454;597;474;310;327	89;75;52;75;85;79	3.245;4.852;9.03;4.147;2.598;3.49	1;1;1;2;2;2	0.968;0.032
ENSG00000004660_exon_1_1554_chr17_-_3765161_3765312	495;439;585;449;300;318	74;74;41;76;84;40	3.697;4.753;11.132;3.878;2.548;6.689	1;1;1;2;2;2	0.944;0.056
ENSG00000004660_exon_1_784_chr17_-_3764391_3764542	543;461;520;469;404;364	60;34;25;68;20;41	5;10.572;16.073;4.528;14.045;7.465	1;1;1;2;2;2	0.17;0.83
ENSG00000004660_exon_1_791_chr17_-_3764398_3764549	545;464;525;477;406;373	60;38;25;66;20;41	5.021;9.776;16.23;4.735;14.11;7.659	1;1;1;2;2;2	0.637;0.363
ENSG00000004660_exon_1_817_chr17_-_3764424_3764575	547;474;493;475;398;382	80;38;33;78;27;70	3.796;9.999;11.809;3.999;10.361;4.628	1;1;1;2;2;2	0.936;0.064
ENSG00000004660_exon_1_821_chr17_-_3764428_3764579	546;472;489;464;389;377	72;38;40;78;27;70	4.181;9.958;9.554;3.911;10.14;4.571	1;1;1;2;2;2	0.995;0.005
ENSG00000004660_exon_1_893_chr17_-_3764500_3764651	661;553;601;542;455;474	71;33;40;76;38;87	5.127;13.076;11.724;4.686;8.517;4.627	1;1;1;2;2;2	0.626;0.374
ENSG00000004660_exon_1_899_chr17_-_3764506_3764657	677;581;624;560;461;490	71;53;40;76;38;87	5.246;8.717;12.181;4.839;8.623;4.774	1;1;1;2;2;2	0.442;0.558
ENSG00000004660_exon_1_949_chr17_-_3764556_3764707	593;449;490;444;322;389	49;51;34;50;39;54	6.717;7.009;11.369;5.801;5.875;6.093	1;1;1;2;2;2	0.065;0.935
ENSG00000004660_exon_1_955_chr17_-_3764562_3764713	565;429;457;419;289;361	49;51;26;50;39;54	6.404;6.694;13.554;5.476;5.272;5.664	1;1;1;2;2;2	0.601;0.399
ENSG00000004660_exon_1_967_chr17_-_3764574_3764725	547;414;446;409;287;351	39;51;24;63;35;54	7.681;6.469;14.371;4.255;5.819;5.502	1;1;1;2;2;2	0.781;0.219
ENSG00000004660_exon_14_106_chr17_-_3788726_3788877	589;472;505;422;354;465	45;104;71;109;64;71	7.236;3.612;5.588;2.528;3.976;5.55	1;1;1;2;2;2	0.439;0.561
ENSG00000004660_exon_14_158_chr17_-_3788778_3788929	663;498;536;479;411;503	44;104;110;117;84;72	8.317;3.811;3.863;2.678;3.486;5.912	1;1;1;2;2;2	0.171;0.829
ENSG00000004660_exon_14_210_chr17_-_3788830_3788981	370;249;256;336;247;263	39;45;84;83;76;36	5.188;4.417;2.403;2.666;2.315;6.189	1;1;1;2;2;2	0.806;0.194
ENSG00000004777_exon_24_157_chr19_+_36277470_36277621	250;171;163;116;96;82	60;88;116;20;53;29	2.307;1.553;1.11;3.687;1.302;2.344	1;1;1;2;2;2	0.954;0.046
ENSG00000004777_exon_24_185_chr19_+_36277498_36277649	262;186;176;120;102;93	68;96;117;21;54;38	2.121;1.549;1.19;3.645;1.353;2.074	1;1;1;2;2;2	0.469;0.531
ENSG00000004777_exon_24_199_chr19_+_36277512_36277663	265;178;173;126;103;84	65;96;117;21;49;37	2.262;1.477;1.169;3.833;1.502;1.94	1;1;1;2;2;2	0.941;0.059
ENSG00000004777_exon_24_213_chr19_+_36277526_36277677	265;174;168;130;101;88	65;96;112;21;49;37	2.262;1.445;1.189;3.959;1.475;2.026	1;1;1;2;2;2	0.903;0.097
ENSG00000004777_exon_24_306_chr19_+_36277619_36277770	272;170;163;145;106;99	35;88;69;45;35;52	4.228;1.544;1.862;2.104;2.163;1.616	1;1;1;2;2;2	0.477;0.523
ENSG00000004777_exon_24_364_chr19_+_36277677_36277828	121;79;104;79;59;67	34;92;61;64;29;59	1.934;0.692;1.353;0.808;1.447;0.956	1;1;1;2;2;2	0.715;0.285
ENSG00000005007_exon_1_168_chr19_+_18942913_18943064	428;379;420;405;269;326	96;111;139;50;56;63	2.474;2.738;2.397;5.286;3.446;4.35	1;1;1;2;2;2	0.999;0.001
ENSG00000005007_exon_1_231_chr19_+_18942976_18943127	768;509;597;622;417;449	77;174;158;107;69;109	5.521;2.335;2.99;3.834;4.28;3.486	1;1;1;2;2;2	0.537;0.463
ENSG00000005007_exon_1_247_chr19_+_18942992_18943143	773;515;620;632;417;460	77;174;143;108;57;122	5.553;2.362;3.432;3.856;5.24;3.201	1;1;1;2;2;2	0.415;0.585
ENSG00000005007_exon_28_1081_chr19_+_18978409_18978560	793;718;931;834;760;684	140;111;96;195;146;100	3.134;5.184;7.673;2.818;3.718;5.818	1;1;1;2;2;2	0.702;0.298
ENSG00000005007_exon_28_1117_chr19_+_18978445_18978596	716;660;864;779;702;627	134;108;73;181;136;101	2.952;4.903;9.285;2.833;3.684;5.28	1;1;1;2;2;2	0.958;0.042
ENSG00000005007_exon_28_1266_chr19_+_18978594_18978745	425;322;362;316;294;242	72;63;110;81;107;110	3.252;4.055;2.607;2.563;1.966;1.864	1;1;1;2;2;2	0.915;0.085
ENSG00000005007_exon_28_1295_chr19_+_18978623_18978774	447;348;383;340;301;250	73;71;129;81;116;141	3.377;3.937;2.35;2.765;1.863;1.503	1;1;1;2;2;2	0.495;0.505
ENSG00000005007_exon_28_1334_chr19_+_18978662_18978813	412;336;367;321;291;247	76;51;129;74;116;140	2.995;5.238;2.25;2.848;1.799;1.497	1;1;1;2;2;2	0.919;0.081
ENSG00000005007_exon_28_218_chr19_+_18977546_18977697	254;165;217;222;174;152	41;102;61;33;70;37	3.4;1.291;2.826;4.351;1.761;3.491	1;1;1;2;2;2	0.714;0.286
ENSG00000005007_exon_28_26_chr19_+_18977354_18977505	920;616;761;709;708;585	226;276;286;321;284;280	2.258;1.785;2.113;1.457;1.786;1.771	1;1;1;2;2;2	0.155;0.845
ENSG00000005007_exon_28_283_chr19_+_18977611_18977762	362;234;350;308;259;256	72;122;70;31;67;56	2.771;1.539;3.931;6.415;2.736;3.871	1;1;1;2;2;2	0.025;0.975
ENSG00000005007_exon_28_306_chr19_+_18977634_18977785	344;231;348;303;259;250	72;122;70;28;67;48	2.636;1.513;3.908;6.96;2.736;4.345	1;1;1;2;2;2	0.897;0.103
ENSG00000005007_exon_28_344_chr19_+_18977672_18977823	386;260;381;341;279;270	78;126;79;28;65;54	2.743;1.653;3.823;7.842;3.044;4.245	1;1;1;2;2;2	0.926;0.074
ENSG00000005007_exon_28_551_chr19_+_18977879_18978030	216;106;156;129;117;76	109;122;75;66;71;136	1.099;0.7;1.653;1.29;1.171;0.477	1;1;1;2;2;2	0.057;0.943
ENSG00000005007_exon_28_579_chr19_+_18977907_18978058	217;109;157;135;122;74	113;116;84;77;73;139	1.068;0.757;1.474;1.152;1.194;0.455	1;1;1;2;2;2	0.96;0.04
ENSG00000005007_exon_28_588_chr19_+_18977916_18978067	218;106;155;135;122;74	113;116;84;77;66;133	1.073;0.737;1.455;1.152;1.317;0.477	1;1;1;2;2;2	0.247;0.753
ENSG00000005007_exon_28_742_chr19_+_18978070_18978221	375;342;414;365;325;251	25;31;86;23;23;43	8.191;8.618;3.791;10.138;9.877;4.894	1;1;1;2;2;2	0.044;0.956
ENSG00000005007_exon_28_839_chr19_+_18978167_18978318	2253;1584;2064;1856;1737;1371	99;99;295;79;104;126	12.518;12.734;5.544;15.432;11.942;9.21	1;1;1;2;2;2	0.046;0.954
ENSG00000005007_exon_28_926_chr19_+_18978254_18978405	2527;1682;2251;2013;1911;1534	120;127;287;127;143;152	11.627;10.579;6.226;10.379;9.539;8.571	1;1;1;2;2;2	0.936;0.064
ENSG00000005007_exon_28_987_chr19_+_18978315_18978466	1678;1161;1578;1407;1323;1106	124;127;166;153;157;110	7.49;7.299;7.549;6.038;6.025;8.5	1;1;1;2;2;2	0.888;0.112
ENSG00000005075_exon_1_195_chr7_-_102113758_102113909	506;287;268;346;466;304	53;127;176;87;99;124	5.238;1.81;1.206;2.616;3.364;2.082	1;1;1;2;2;2	0.651;0.349
ENSG00000005075_exon_1_238_chr7_-_102113801_102113952	1308;915;886;876;1180;1006	336;369;379;235;366;466	2.159;1.988;1.857;2.448;2.312;1.836	1;1;1;2;2;2	0.337;0.663
ENSG00000005075_exon_1_253_chr7_-_102113816_102113967	1345;931;903;890;1206;1047	358;386;413;244;373;501	2.085;1.932;1.734;2.398;2.32;1.776	1;1;1;2;2;2	0.943;0.057
ENSG00000005075_exon_1_265_chr7_-_102113828_102113979	1349;947;908;907;1219;1053	378;397;415;246;373;516	1.982;1.913;1.735;2.423;2.344;1.736	1;1;1;2;2;2	0.491;0.509
ENSG00000005075_exon_1_326_chr7_-_102113889_102114040	1329;957;904;905;1227;1048	412;421;469;265;429;542	1.788;1.819;1.53;2.247;2.052;1.642	1;1;1;2;2;2	0.272;0.728
ENSG00000005156_exon_4_169_chr17_+_33310188_33310339	1345;1209;1225;1228;1017;1032	50;100;86;75;60;50	14.671;9.618;11.215;10.75;12.155;17.557	1;1;1;2;2;2	0.003;0.997
ENSG00000005156_exon_4_216_chr17_+_33310235_33310386	1346;1230;1232;1249;1025;1031	50;99;84;75;60;45	14.683;9.887;11.566;10.932;12.246;19.155	1;1;1;2;2;2	0.888;0.112
ENSG00000005194_exon_1_570_chr16_-_57462649_57462800	164;94;149;107;129;92	35;52;38;19;34;40	2.55;1.442;3.067;3.56;2.697;1.945	1;1;1;2;2;2	0.707;0.293
ENSG00000005194_exon_1_722_chr16_-_57462801_57462952	356;176;245;216;235;188	81;51;202;81;62;50	2.443;2.747;0.964;1.753;2.724;3.21	1;1;1;2;2;2	0.197;0.803
ENSG00000005194_exon_1_738_chr16_-_57462817_57462968	273;126;184;164;175;152	81;45;188;78;46;42	1.876;2.234;0.778;1.382;2.727;3.036	1;1;1;2;2;2	0.845;0.155
ENSG00000005194_exon_1_795_chr16_-_57462874_57463025	273;126;180;154;164;145	111;66;198;93;96;71	1.367;1.512;0.724;1.096;1.224;1.734	1;1;1;2;2;2	0.308;0.692
ENSG00000005206_exon_19_143_chr19_+_2353085_2353236	143;119;143;96;93;108	25;79;22;46;25;70	3.132;1.208;5.078;1.368;2.624;1.314	1;1;1;2;2;2	0.884;0.116
ENSG00000005206_exon_19_260_chr19_+_2353202_2353353	257;185;212;191;176;169	32;112;51;40;59;59	4.33;1.329;3.278;3.102;2.148;2.424	1;1;1;2;2;2	0.714;0.286
